5 152 602 5 546 4272 56 1 26 406 367 709 288 111 4 447 509 15 361 676 4 4078 6258 56 1 9250 248 4079 2 1 46 26 12 299 13 25 2022 6 46 5 8 3730 33 9 15 3731 10 152 32 13 95 117 126 196 41 754 39 177 80 17 132 6 808 56 1 139 202 248 381 17 1751 126 81 288 16 5 78 18 26 2 5 68 104 10 74 4 341 181 6 86 14 1 9250 19 1877 48 375 489 2 19 1877 85 119 5695 84 13 79 5696 248 722 3 38 4 485 45 1013 1877 112 3317 112 3318 112 7906 1 248 19 109 34 9 1201 1 91 16 5 1681 15 361 12 169 399 140 6 492 4 2875 7 489 29 13 5 62 1 269 248 27 206 551 60 6928 174 620 4542 514 179 36 371 938 63 22 856 123 1 773 2 7907 1567 152 162 6 98 42 1 632 183	5
91 1000 6 51 6 3449 24 4273 2 3450 3 19 475 459 1178 187 17 47 249 1014 7 1062 42 7 1 605 13 19 475 2 46 341 734 7 1 287 217 3 262 1062 973 9 263 1 512 7 288 61 695 14 61 2143 3 40 196 4 3890 659 3 3 3 3 19 118 600 262 973 176 9251 3 281 11 124 20 4 1259 120 96 3074 2 100 170 1388 7 217 1 170 851 7 1 1062 63 30 723 1014 11 246 13 152 1945 2 4 529 7 1418 3 1 892 134 42 6 56 4 75 111 7908 650 3 238 3 3 3 486 19 21 6259 1504 321 171 8 41 364 93 112 25 2144 147 2 19 133 15 153 34 257 2362 3 5 156 232 17 135 12 2239 40 39 11 48 459 1178 20 45 23 3 1146 89 36 31 2 5 71 32 66	5
124 44 1340 14 1 4274 2 361 3 18 26 9 1 341 1341 1776 767 788 3 22 488 13 10 8 1 4840 3589 44 20 494 11 340 12 1986 1077 1296 24 671 615 1 595 187 17 108 61 185 3 22 416 14 1 965 3 1418 519 3 677 2 5 809 1 5697 97 14 1297 210 547 1434 25 57 393 203 14 2876 13 8 43 212 361 25 1 789 3319 14 6260 3 5 373 171 2 38 1 31 8 136 34 30 70 43 727 2 624 209 2 217 1815 3 34 9 60 1549 114 13 3320 1269 6261 33 81 33 57 210 389 3 34 9 143 4 75 684 12 1 66 2304 371 1113 815 49 3732 3075 1113 815 1104 33 81 33 646 2363 1160 2 79 491 232 4 566 6 4275 684 11 4 146 7909 185	5
5 396 32 2774 2 1298 13 18 9 23 4 201 1022 207 5 1777 6 104 1 207 9 4 28 26 12 4 4276 11 750 556 961 549 2 1089 1063 11 246 221 11 1221 1063 395 21 6 51 1525 12 4 4276 10 9 36 1641 14 371 1260 18 207 62 2877	3
1031 78 18 207 3 21 64 4 2023 11 6929 16 8 43 438 14 1 1310 122 1053 88 191 506 12 2775 1270 94 74 899 391 59 3076 293 88 13 154 34 716 138 2240 20 1 1238 38 30 1567 42 7 4 255 235 20 170 557 1702 27 48 207 17 625 6 412 37 13 61 183 1567 313 966 874 2775 12 7910 380 55 39 3077 3321 295 18 8 96 1849 293 88 1946 41 7911 38 48 2024 389 6 5229 1 1169 158 112 674 6 439 1 79 207 3 310 85 6 1389 4 5230 11 37 465 94 3322 38 30 1567 42 7 1 701 9252 2241 1 1238 69 1161 798 3 4277 331 5 1526 13 1 1238 1550 3451 701 3891 20 1 269 158 255 235 20 1 4278 27 48 207 3590 6 159 10 222 21 3451 50 20 1 1238 3891 94 143 3322 38 802 30 1567 42 112 507 5 856 10 1222 49 46 7 61 5698 2 10 8 1179 76	2
110 123 133 4 1452 2 525 6 32 573 178 6 1 574 202 4080 3 43 1664 23 6 962 10 8 7913 3321 295 13 158 3 5 243 6 32 573 1525 16 1 3078 1778 8 13 18 8 38 13 8 671 900 6 1682 3 81 5 133 3 1452 16 94 41 133 197 1778 13 22 482 6 32 4 1419 535 6 407 1525 3 5 432 10 130 218 69 80 15 328 1703 48 68	2
5648 688 2977 1223 6 1147 3 1 194 24 43 28 2 1 113 8 43 37 495 14 57 6930 3 1 424 8 146 2 212 33 12 250 30 341 875 200 216 509 3 774 20 1 384 30 70 146 2 25 4 385 688 3 4 2878 56 4279 3 1 385 8 337 16 1 2878 8 90 3 5 4081 1 461 113 862 6 4 391 2 253 42 13 19 109 392 7 1 2593 942 44 3 211 126 239 678 11 117 45 1239 4543	3
4544 11 1 2879 182 41 420 182 1 207 3733 1342 18 619 5 21 112 4280 11 1 5 156 352 728 10 300 40 61 221 11 57 337 4841 3323 27 18 9 61 619 6 51 150 204 2 32 5699 15 224	1
22 425 1042 1 139 99 198 605 236 96 1 6262 1467 10 9 257 177 125 1224 1 139 6262 520 2 1402 35 1 2114 6263 99 48 59 9 36 22 100 4 131 2 137 5 222 21 1202 117 6 108 4 131 49 4 139 1910 429 99 907 662 144 14 139 1910 694 2 1283 10 462 66 3324 7 2776 14 15 4082 9253 1311 45 8 1 117 2680 662 144	3
27 4545 4 566 6 11 54 224 1642 367 236 66 2594 88 6 510 2 1 7 197 552 7 2533 1 281 5700 7 2 6931 868 54 224 24 143 755 3592 236 530 16 125 15 202 857 21 11 1 7 4 75 1619 2 1435 49 15 223 1054 78 5 21 49 1 202 510 1911 876 11 5701 80 39 177 2 65 1947 12 550 4281 12 550 444 4 139 7914 525 4842 627 7915 463 463 463 93 89 4842 510 12 15 3892 5 235 1 210 3 329 510 195 2 1 5231 510 2305 2 1 287 133 227 171 8 1343 2 301 32 66 6 98 1 713 1 99 9 4 580 242 265 7 4 130 4843 933 14 4 127 372 314 2 4 7916 324 39 2681 2 39 1665 51 1090 98 10 17 41 395 1593 12 78	5
